"BirdID","ColNestLaying","Date","Time_Since_sun_rise","Colony","Nest","Playback_type","Playback_file","Recording_day","playback","N_chicks","D_chicks","sex","Season","Feeding_visits","BirdID_CNL","exact_age","minimum_age","age_seasons","age_categorical","temperature","wind","class_breeder"
"BJ29146","42_29_2019-12-12","2020-01-06",60.9999999999999,"42","29","F",7,3,"one",2,12,"F","2019/2020",1,"BJ29146-42_29_2019-12-12",236,236,2,"too_young",23.9,2.8,"helper"
"BJ29146","42_29_2019-12-12","2020-01-04",75,"42","29","C",10,1,"one",2,10,"F","2019/2020",3,"BJ29146-42_29_2019-12-12",234,234,2,"too_young",22.4,6.9,"helper"
"BJ29148","42_16_2019-12-12","2020-01-04",75,"42","16","C",10,1,"one",4,10,"M","2019/2020",5,"BJ29148-42_16_2019-12-12",234,234,2,"too_young",22.4,6.9,"helper"
"BJ29148","42_16_2019-12-12","2020-01-05",76,"42","16","M",13,2,"one",4,11,"M","2019/2020",7,"BJ29148-42_16_2019-12-12",235,235,2,"too_young",20.6,3.8,"helper"
"BJ29148","42_16_2019-12-12","2020-01-06",60.9999999999999,"42","16","F",7,3,"one",4,12,"M","2019/2020",3,"BJ29148-42_16_2019-12-12",236,236,2,"too_young",23.9,2.8,"helper"
"BJ29164","32_16_2019-12-17","2020-01-09",68,"32","16","C",1,1,"one",3,10,"M","2019/2020",4,"BJ29164-32_16_2019-12-17",237,237,2,"could_breed",17.8,0,"helper"
"BJ29164","32_16_2019-12-17","2020-01-11",50,"32","16","F",8,3,"one",3,12,"M","2019/2020",9,"BJ29164-32_16_2019-12-17",239,239,2,"could_breed",20.4,4.8,"helper"
"BJ29164","32_16_2019-12-17","2020-01-10",70.9999999999999,"32","16","M",13,2,"one",3,11,"M","2019/2020",9,"BJ29164-32_16_2019-12-17",238,238,2,"could_breed",19.2,2.6,"helper"
"BJ29165","32_16_2019-12-17","2020-01-11",50,"32","16","F",8,3,"one",3,12,"F","2019/2020",8,"BJ29165-32_16_2019-12-17",239,239,2,"could_breed",20.4,4.8,"helper"
"BJ29165","32_16_2019-12-17","2020-01-10",70.9999999999999,"32","16","M",13,2,"one",3,11,"F","2019/2020",11,"BJ29165-32_16_2019-12-17",238,238,2,"could_breed",19.2,2.6,"helper"
"BJ29165","32_16_2019-12-17","2020-01-09",68,"32","16","C",1,1,"one",3,10,"F","2019/2020",2,"BJ29165-32_16_2019-12-17",237,237,2,"could_breed",17.8,0,"helper"
"BJ29195","42_14_2019-12-13","2020-01-04",75,"42","14","C",10,1,"one",4,9,"M","2019/2020",6,"BJ29195-42_14_2019-12-13",227,227,2,"too_young",22.4,6.9,"helper"
"BJ29195","42_14_2019-12-13","2020-01-05",76,"42","14","M",13,2,"one",4,10,"M","2019/2020",9,"BJ29195-42_14_2019-12-13",228,228,2,"too_young",20.6,3.8,"helper"
"BJ29195","42_14_2019-12-13","2020-01-06",60.9999999999999,"42","14","F",7,3,"one",4,11,"M","2019/2020",7,"BJ29195-42_14_2019-12-13",229,229,2,"too_young",23.9,2.8,"helper"
"BJ29198","42_14_2019-12-13","2020-01-04",75,"42","14","C",10,1,"one",4,9,"M","2019/2020",5,"BJ29198-42_14_2019-12-13",227,227,2,"too_young",22.4,6.9,"helper"
"BJ29198","42_14_2019-12-13","2020-01-05",76,"42","14","M",13,2,"one",4,10,"M","2019/2020",4,"BJ29198-42_14_2019-12-13",228,228,2,"too_young",20.6,3.8,"helper"
"BJ29198","42_14_2019-12-13","2020-01-06",60.9999999999999,"42","14","F",7,3,"one",4,11,"M","2019/2020",2,"BJ29198-42_14_2019-12-13",229,229,2,"too_young",23.9,2.8,"helper"
"BJ29204","7_20_2019-12-14","2020-01-05",55.9999999999999,"7","20","F",3,1,"three",4,8,"F","2019/2020",1,"BJ29204-7_20_2019-12-14",226,226,2,"too_young",17.5,4.5,"helper"
"BJ29204","7_20_2019-12-14","2020-01-08",69,"7","20","M",5,3,"three",4,11,"F","2019/2020",3,"BJ29204-7_20_2019-12-14",229,229,2,"too_young",18.8,3.4,"helper"
"BJ29204","7_20_2019-12-14","2020-01-06",65.0000000000001,"7","20","C",2,2,"three",4,9,"F","2019/2020",1,"BJ29204-7_20_2019-12-14",227,227,2,"too_young",23.9,2.8,"helper"
"BJ29205","7_20_2019-12-14","2020-01-06",65.0000000000001,"7","20","C",2,2,"three",4,9,"M","2019/2020",7,"BJ29205-7_20_2019-12-14",227,227,2,"too_young",23.9,2.8,"helper"
"BJ29205","7_20_2019-12-14","2020-01-08",69,"7","20","M",5,3,"three",4,11,"M","2019/2020",5,"BJ29205-7_20_2019-12-14",229,229,2,"too_young",18.8,3.4,"helper"
"BJ29205","7_20_2019-12-14","2020-01-05",55.9999999999999,"7","20","F",3,1,"three",4,8,"M","2019/2020",4,"BJ29205-7_20_2019-12-14",226,226,2,"too_young",17.5,4.5,"helper"
"BJ29231","37_2_2019-10-15","2019-11-08",80,"37","2","M",5,2,"one",2,9,"F","2019/2020",2,"BJ29231-37_2_2019-10-15",162,162,2,"too_young",15.1,3.2,"helper"
"BJ29231","37_2_2019-10-15","2019-11-07",110,"37","2","C",12,1,"one",2,8,"F","2019/2020",6,"BJ29231-37_2_2019-10-15",161,161,2,"too_young",20.1,3.1,"helper"
"BJ29231","37_2_2019-10-15","2019-11-09",77,"37","2","F",3,3,"one",2,10,"F","2019/2020",1,"BJ29231-37_2_2019-10-15",163,163,2,"too_young",16.7,2.6,"helper"
"BJ29237","8_69_2019-11-18","2019-12-13",79.0000000000001,"8","69","F",6,3,"five",3,11,"M","2019/2020",4,"BJ29237-8_69_2019-11-18",196,196,2,"too_young",20.1,6.2,"helper"
